Actual,Predicted_Mean,Predicted_Std
2.425268228,6.608179,2.6053786
23.0,20.682854,8.707901
134.0,59.701378,16.929335
0.881437932,5.4201436,3.1501377
19.55,40.36911,10.242964
16.06,47.646427,21.628206
67.54,44.719513,6.1462317
95.51,75.6863,11.390527
34.8,67.37058,9.57353
68.8,41.248844,7.0137877
56.44,41.974518,9.822689
32.83,42.544037,17.478653
20.85,22.091108,9.056654
69.7198,68.95783,3.1699998
29.775,37.545204,2.426585
21.32447381,15.909529,5.885106
44.6171,35.594337,14.053906
45.0,54.37603,9.601762
1.5,7.5105577,15.987361
4.843442634,6.7995973,2.1277573
25.7,43.587612,14.644799
18.44109715,9.910247,2.850381
107.285,98.31656,23.675093
38.1575,63.35226,11.870283
76.88,55.170834,6.608951
5.217351694,11.787484,3.5999265
2.115,6.5781837,4.9862833
24.05,14.664796,16.438726
32.165,41.258263,5.8371263
32.53,61.929188,3.9920814
6.254112519,16.718578,6.552288
1.4,7.5105577,15.987361
36.585,43.404316,23.31475
36.33,38.971897,8.728625
1.634711325,8.954288,6.720144
74.1,61.076942,31.390663
0.861831995,12.058508,7.1095557
35.395,37.43477,7.3910456
8.32,8.801263,4.691354
53.14,44.719513,6.1462317
79.5625,42.55708,10.5745945
33.981,42.59357,4.376112
23.85,29.390547,13.422079
76.1964,90.063866,5.6509857
56.25,50.167915,20.975103
111.685,76.870834,6.9481826
0.980771747,6.413239,2.2086835
7.96,20.751253,7.304816
9.775,50.521805,16.76305
1.65,7.5105577,15.987361
45.0824,40.51726,6.580425
66.5708,73.05143,17.701044
37.506,59.31877,6.575419
14.935,42.210045,6.562968
82.435,52.82581,11.36528
93.295,78.14094,23.162722
55.51,33.74049,10.030279
6.515,24.018642,19.620815
49.85,36.8043,2.801452
36.925,40.172543,7.179434
3.705,40.788116,12.299201
23.11,52.93607,20.797396
44.97,62.50424,9.601987
5.161193855,10.09555,3.473575
2.29,7.7913246,8.215494
11.57325986,12.0267935,3.451405
66.885,45.72079,10.887312
64.75,76.870834,6.9481826
17.02,16.115133,5.8292236
68.7281,70.27838,15.112218
59.8357,55.18395,10.05488
53.45,36.8043,2.801452
17.71340725,6.898647,2.6100142
8.285,18.19886,9.500993
76.8826,75.89883,8.935971
48.25,63.85114,7.72307
1.731923027,5.068415,4.225004
42.245,43.97622,11.722638
45.385,42.544037,17.478653
64.04,42.426037,29.817177
69.3344,83.538895,11.734952
5.300874146,4.937726,2.1175778
9.585,17.776896,10.221869
73.84,48.134842,11.254931
60.3,39.058815,7.7473073
22.29,60.867176,4.8081646
35.935,39.71309,11.173558
3.95,47.58154,14.917425
20.07215634,15.411925,5.304049
118.6125,91.600334,9.676868
107.82,69.61031,9.865861
72.8,67.37058,9.57353
60.39,32.294292,10.994088
42.14,46.823032,6.1765785
3.314825273,7.674838,4.4802856
110.125,69.54219,42.03626
65.7,52.82581,11.36528
189.82,89.67051,7.3925915
51.95,29.84509,5.6639714
11.77879142,11.825413,3.3965743
68.79,63.79096,19.388285
0.89,33.59459,8.696923
73.475,52.738262,24.876518
21.0,40.969864,9.101354
63.425,70.768875,5.383728
72.515,41.974518,9.822689
134.62,47.48485,18.412292
55.9,65.09179,3.9258263
151.15,98.31656,23.675093
7.905,11.096842,4.5681467
11.885,40.392315,12.066364
1.166032768,8.102552,3.5889678
76.525,36.76299,9.900081
9.365,15.032733,4.618653
2.616571722,6.5654626,4.503951
33.4311,59.31877,6.575419
0.820019265,4.443129,3.8466167
21.67707459,4.6333084,3.2805552
4.185,59.790108,11.681231
1.415391643,8.702814,4.2564917
7.925,12.009849,9.477051
55.14,47.980133,9.396923
27.165,36.20665,11.824567
51.67,43.587612,14.644799
21.6106,59.31877,6.575419
3.93,11.499263,8.973803
2.644203142,4.2495756,6.495656
11.735,35.161343,11.159032
192.175,101.82138,8.443989
31.55,36.8043,2.801452
26.52,39.460167,13.530489
33.57875078,26.658726,9.063572
4.23,35.380344,9.994204
67.265,46.42704,14.466605
90.56,62.96145,9.617459
35.405,41.765324,3.3677354
19.6580693,9.910247,2.850381
32.0,37.43477,7.3910456
0.195231034,8.844749,5.2141814
22.22,44.719513,6.1462317
51.3,47.980133,9.396923
78.024,54.6046,7.9860883
118.855,71.312805,27.71396
17.03614157,4.1714,2.407019
26.15,42.210045,6.562968
1.081,23.321632,15.214273
2.318861299,8.656463,7.3339133
45.1,63.85114,7.72307
2.970007914,14.657441,8.129721
44.838,40.51726,6.580425
29.15325599,17.098097,4.0030537
35.085,39.996136,13.23796
38.9771,38.151577,11.382879
101.75,101.82138,8.443989
26.25,36.8043,2.801452
9.925,22.980188,17.710012
72.4599,60.633896,14.057936
10.66764291,10.014295,5.2263417
5.380216014,8.412174,2.6867967
59.605,37.716488,5.426459
69.7625,54.6046,7.9860883
9.398118475,11.691071,6.5234575
31.055,54.00921,9.143729
57.4,63.85114,7.72307
1.002415774,5.7546043,2.4720538
55.8219,46.430626,8.698248
64.65,21.80399,21.320736
8.398937917,10.746547,8.704667
39.9745,50.779484,7.325863
34.735,44.409317,6.654587
10.97153801,15.488225,3.5852153
18.5,10.146929,5.8783813
108.55,76.870834,6.9481826
2.421428804,25.428442,10.940069
44.4244,40.51726,6.580425
97.215,76.870834,6.9481826
56.2026,55.380104,5.7051997
41.407,34.1119,4.3024573
47.45,35.674625,17.551928
2.885911506,4.936214,3.2650275
35.325,45.284134,9.889243
24.595,37.716488,5.426459
55.131,55.97553,7.0322914
23.32503975,14.140064,6.6477594
3.537597689,10.034436,7.3338647
68.45,54.321457,8.979785
47.835,39.06767,4.571003
31.0,59.31877,6.575419
6.622265998,13.080452,4.6544504
132.4,44.268524,10.003215
1.68,13.55151,4.3628187
1.95,7.5105577,15.987361
